5 4 3 47 94ba03f2b3
5 4 5 47 9447261a82
1 5 47 066b037400
2 5 47 59f99ce3c
4 5 0 47 05f8d0266d
5 5 0 47 060cace443
5 5 1 47 061f82cb71
5 5 2 47 06325e5867
5 5 3 47 06453e96f4
5 5 4 47 06581f4014
3 47 5c6087e00
1 0 48 634b4f2400
2 0 48 5d9e3d6f6
4 0 0 48 633774ca71
5 0 1 48 62c5845743
5 0 2 48 62d85fe787
5 0 3 48 62eb402c02
5 0 4 48 62fe20d885
5 0 5 48 6311058ffd
1 1 48 69063dba00
2 1 48 5ecb938b6
4 1 0 48 68df8e03b7
5 1 0 48 68f368da62
5 1 2 48 68807932c4
5 1 3 48 68935973dc
5 1 4 48 68a63a1d08
5 1 5 48 68b91ed123
1 2 48 5c5bd23a00
2 2 48 5ff95e683
4 2 0 48 5c2245c06c
5 2 0 48 5c36209fc7
5 2 1 48 5c48f6078b
5 2 3 48 5bd61110f9
5 2 4 48 5be8f1c248
5 2 5 48 5bfbd67e50
1 3 48 f5e1ad9800
2 3 48 61274a253
4 3 0 48 f595428720
5 3 0 48 f5a91d5c6c
5 3 1 48 f5bbf2b9b6
5 3 2 48 f5cecf638c
5 3 4 48 f55beea818
5 3 5 48 f56ed359a4
1 4 48 9565864c00
2 4 48 625574233
4 4 0 48 9506388644
5 4 0 48 951a136075
5 4 1 48 952ce8c296
5 4 2 48 953fc5711c
5 4 3 48 9552a42b8d
5 4 5 48 94dfc94fda
1 5 48 0703a2d000
2 5 48 6383911bc
4 5 0 48 0691732ee1
5 5 0 48 06a54e0ae3
5 5 1 48 06b8236f33
5 5 2 48 06cb001fad
5 5 3 48 06dddedc6f
5 5 4 48 06f0c17ec7
3 48 65ea78600
1 0 49 63e3f05c00
2 0 49 67284e513
4 0 0 49 63d013fc4d
5 0 1 49 635e250d4c
5 0 2 49 637101bfc7
5 0 3 49 6383e082e6
5 0 4 49 6396c3288e
5 0 5 49 63a9a4fd73
1 1 49 699edf4800
2 1 49 6855abdfc
4 1 0 49 69782d1457
5 1 0 49 698c09f139
5 1 2 49 69191aea52
5 1 3 49 692bf9a9a3
5 1 4 49 693edc4bea
5 1 5 49 6951be1d61
1 2 49 5cf4733400
2 2 49 698369b5d
4 2 0 49 5cbae50d86
5 2 0 49 5ccec1f275
5 2 1 49 5ce197d201
5 2 3 49 5c6eb1833a
5 2 4 49 5c81942da3
5 2 5 49 5c947606fe
1 3 49 f67a4fa200
2 3 49 6ab16c160
4 3 0 49 f62de17a08
5 3 0 49 f641be557d
5 3 1 49 f6549429f6
5 3 2 49 f667700354
5 3 4 49 f5f490b927
5 3 5 49 f607728825
1 4 49 95fe259200
2 4 49 6bdf67c64
4 4 0 49 959ed79a12
5 4 0 49 95b2b47a69
5 4 1 49 95c58a53a7
5 4 2 49 95d86631a9
5 4 3 49 95eb465676
5 4 5 49 9578689f2f
1 5 49 079c442000
2 5 49 6d0da4962
4 5 0 49 072a124f60
5 5 0 49 073def3176
5 5 1 49 0750c50cfb
5 5 2 49 0763a0ecf6
5 5 3 49 07768113f7
5 5 4 49 078960d154
3 49 6f7497c00
1 0 50 647c919400
2 0 50 70b25f33c
4 0 0 50 6468b61c2e
5 0 1 50 63f6c6bb96
5 0 2 50 6409a29eef
5 0 3 50 641c82cbdc
5 0 4 50 642f628ca8
5 0 5 50 6442465edd
1 1 50 6a377fde00
2 1 50 71dfb4b49
4 1 0 50 6a10cf130f
5 1 0 50 6a24ab08ea
5 1 2 50 69b1bba7db
5 1 3 50 69c49bd164
5 1 4 50 69d77b8eca
5 1 5 50 69ea5f5da2
1 2 50 5d8d152800
2 2 50 730d84a2b
4 2 0 50 5d538748b2
5 2 0 50 5d676345be
5 2 1 50 5d7a38a45c
5 2 3 50 5d0753e772
5 2 4 50 5d1a33ad02
5 2 5 50 5d2d1783b5
1 3 50 f712efb800
2 3 50 743b6ec8a
4 3 0 50 f6c6835af9
5 3 0 50 f6da5f4e79
5 3 1 50 f6ed34a227
5 3 2 50 f700119d1a
5 3 4 50 f68d2fde66
5 3 5 50 f6a013aaa3
1 4 50 9696c8be00
2 4 50 756999c96
4 4 0 50 9637799bed
5 4 0 50 964b55944f
5 4 1 50 965e2aecbe
5 4 2 50 967107ec5c
5 4 3 50 9683e68d44
5 4 5 50 961109e285
1 5 50 0834e47600
2 5 50 7697a86e8
4 5 0 50 07c2b45dcc
5 5 0 50 07d690580b
5 5 1 50 07e965b2b4
5 5 2 50 07fc42b44f
5 5 3 50 080f2157a0
5 5 4 50 0822040a11
3 50 78fe98000
1 0 51 651532cc00
2 0 51 7a3c7014b
4 0 0 51 6501564a17
5 0 1 51 648f6772ca
5 0 2 51 64a24477b4
5 0 3 51 64b52320d3
5 0 4 51 64c805d6bb
5 0 5 51 64dae6c642
1 1 51 6ad0216a00
2 1 51 7b69cce88
4 1 0 51 6aa96f1fca
5 1 0 51 6abd4c1ee4
5 1 2 51 6a4a5d5f69
5 1 3 51 6a5d3c0533
5 1 4 51 6a701eb7c8
5 1 5 51 6a82ffa3dd
1 2 51 5e25b62200
2 2 51 7c978ff1c
4 2 0 51 5dec2791d4
5 2 0 51 5e0004999b
5 2 1 51 5e12da6cc0
5 2 3 51 5d9ff4579e
5 2 4 51 5db2d71252
5 2 5 51 5dc5b80661
1 3 51 f7ab91c200
2 3 51 7dc590b8b
4 3 0 51 f75f2349e7
5 3 0 51 f773004797
5 3 1 51 f785d61057
5 3 2 51 f798b23cdc
5 3 4 51 f725d2e96f
5 3 5 51 f738b3d2f9
1 4 51 972f680400
2 4 51 7ef38d6df
4 4 0 51 96d019aba5
5 4 0 51 96e3f6ae3e
5 4 1 51 96f6cc7be4
5 4 2 51 9709a8ad09
5 4 3 51 971c88b831
